Date,level
1/1/2020,23.11
1/2/2020,23.92
1/3/2020,23.74
1/4/2020,23.61
1/5/2020,23.55
1/6/2020,23.42
1/7/2020,22.75
1/8/2020,22.55
1/9/2020,22.62
1/10/2020,22.33
1/11/2020,22.07
1/12/2020,21.31
1/13/2020,21.32
1/14/2020,21.52
1/15/2020,21.4
1/16/2020,21.24
1/17/2020,21.75
1/18/2020,21.8
1/19/2020,21.84
1/20/2020,21.72
1/21/2020,22.01
1/22/2020,21.88
1/23/2020,21.66
1/24/2020,21.59
1/25/2020,22.21
1/26/2020,22.45
1/27/2020,22.62
1/28/2020,22.8
1/29/2020,23.01
1/30/2020,22.92
1/31/2020,22.93
2/1/2020,23.1
2/2/2020,23.53
2/3/2020,23.65
2/4/2020,23.54
2/5/2020,23.49
2/6/2020,24.12
2/7/2020,24.5
2/8/2020,24.61
2/9/2020,24.69
2/10/2020,24.33
2/11/2020,24.2
2/12/2020,24.39
2/13/2020,24.46
2/14/2020,24.46
2/15/2020,24.35
2/16/2020,24.41
2/17/2020,24.39
2/18/2020,24.62
2/19/2020,25.45
2/20/2020,25.5
2/21/2020,25.14
2/22/2020,25.07
2/23/2020,25.94
2/24/2020,26.04
2/25/2020,26.37
2/26/2020,26.8
2/27/2020,26.56
2/28/2020,26.32
2/29/2020,26.43
3/1/2020,27.49
3/2/2020,29.51
3/3/2020,29.72
3/4/2020,29.65
3/5/2020,29.52
3/6/2020,29.44
3/7/2020,30.1
3/8/2020,30.31
3/9/2020,30.26
3/10/2020,30.57
3/11/2020,30.4
3/12/2020,30.83
3/13/2020,32.23
3/14/2020,32.95
3/15/2020,32.82
3/16/2020,33.05
3/17/2020,33.23
3/18/2020,33.45
3/19/2020,33.18
3/20/2020,33.09
3/21/2020,32.56
3/22/2020,32.44
3/23/2020,32.52
3/24/2020,32.48
3/25/2020,32.65
3/26/2020,32.63
3/27/2020,32.95
3/28/2020,32.83
3/29/2020,32.98
3/30/2020,32.99
3/31/2020,33.23
4/1/2020,33.1
4/2/2020,33.04
4/3/2020,33.09
4/4/2020,32.99
4/5/2020,33.27
4/6/2020,34.94
4/7/2020,34.85
4/8/2020,34.9
4/9/2020,34.3
4/10/2020,34.49
4/11/2020,34.52
4/12/2020,33.71
4/13/2020,33.11
4/14/2020,33.11
4/15/2020,33.29
4/16/2020,33.31
4/17/2020,33.09
4/18/2020,33.69
4/19/2020,33.97
4/20/2020,34.15
4/21/2020,34.01
4/22/2020,34.95
4/23/2020,34.72
4/24/2020,34.99
4/25/2020,35.38
4/26/2020,35.55
4/27/2020,35.7
4/28/2020,35.66
4/29/2020,35.66
4/30/2020,35.18
5/1/2020,35.06
5/2/2020,35.19
5/3/2020,35.05
5/4/2020,34.64
5/5/2020,34.6
5/6/2020,34.57
5/7/2020,34.78
5/8/2020,34.84
5/9/2020,34.82
5/10/2020,34.37
5/11/2020,34.36
5/12/2020,34.63
5/13/2020,34.59
5/14/2020,34.34
5/15/2020,34.28
5/16/2020,34.41
5/17/2020,34.49
5/18/2020,34.54
5/19/2020,34.52
5/20/2020,34.4
5/21/2020,34.89
5/22/2020,35.11
5/23/2020,35.3
5/24/2020,35.39
5/25/2020,35.79
5/26/2020,36.86
5/27/2020,38.16
5/28/2020,38.7
5/29/2020,39.29
5/30/2020,39.74
5/31/2020,39.96
6/1/2020,39.92
6/2/2020,39.51
6/3/2020,39.63
6/4/2020,39.48
6/5/2020,39.4
6/6/2020,39.46
6/7/2020,39.66
6/8/2020,39.74
6/9/2020,39.71
6/10/2020,39.61
