ds,y
2020-01-01,17.76
2020-01-02,18.55
2020-01-03,18.13
2020-01-04,18.62
2020-01-05,17.7
2020-01-06,17.82
2020-01-07,17.88
2020-01-08,17.27
2020-01-09,16.11
2020-01-10,15.56
2020-01-11,16.97
2020-01-12,17.52
2020-01-13,15.26
2020-01-14,14.4
2020-01-15,14.4
2020-01-16,16.11
2020-01-17,17.76
2020-01-18,17.7
2020-01-19,18.13
2020-01-20,18.07
2020-01-21,18.13
2020-01-22,18.98
2020-01-23,18.62
2020-01-24,18.07
2020-01-25,17.09
2020-01-26,16.17
2020-01-27,16.05
2020-01-28,15.93
2020-01-29,15.2
2020-01-30,15.62
2020-01-31,15.69
2020-02-01,15.01
2020-02-02,15.2
2020-02-03,16.24
2020-02-04,16.97
2020-02-05,17.15
2020-02-06,16.97
2020-02-07,16.72
2020-02-08,16.3
2020-02-09,15.93
2020-02-10,15.38
2020-02-11,16.54
2020-02-12,18.07
2020-02-13,17.88
2020-02-14,17.64
2020-02-15,17.76
2020-02-16,17.46
2020-02-17,16.48
2020-02-18,14.4
2020-02-19,14.77
2020-02-20,16.6
2020-02-21,18.74
2020-02-22,18.49
2020-02-23,17.76
2020-02-24,17.46
2020-02-25,18.01
2020-02-26,17.33
2020-02-27,16.48
2020-02-28,15.99
2020-02-29,15.75
2020-03-01,16.66
2020-03-02,16.66
2020-03-03,16.05
2020-03-04,16.85
2020-03-05,17.82
2020-03-06,18.74
2020-03-07,18.01
2020-03-08,17.03
2020-03-09,17.76
2020-03-10,17.03
2020-03-11,16.66
2020-03-12,16.91
2020-03-13,16.66
2020-03-14,17.52
2020-03-15,17.76
2020-03-16,18.07
2020-03-17,17.82
2020-03-18,17.82
2020-03-19,17.64
2020-03-20,17.94
2020-03-21,17.33
2020-03-22,17.09
2020-03-23,16.97
2020-03-24,16.54
2020-03-25,17.4
2020-03-26,15.14
2020-03-27,14.71
2020-03-28,15.87
2020-03-29,18.25
2020-03-30,18.01
2020-03-31,16.48
2020-04-01,16.54
2020-04-02,16.11
2020-04-03,16.42
2020-04-04,17.82
2020-04-05,18.37
2020-04-06,17.46
2020-04-07,18.49
2020-04-08,18.92
2020-04-09,18.86
2020-04-10,18.31
2020-04-11,17.94
2020-04-12,18.19
2020-04-13,18.37
2020-04-14,18.43
2020-04-15,18.43
2020-04-16,18.62
2020-04-17,19.47
2020-04-18,18.49
2020-04-19,18.8
2020-04-20,18.68
2020-04-21,19.23
2020-04-22,20.2
2020-04-23,20.14
2020-04-24,19.59
2020-04-25,19.65
2020-04-26,20.26
2020-04-27,20.2
2020-04-28,20.14
2020-04-29,19.59
2020-04-30,19.17
2020-05-01,18.37
2020-05-02,19.65
2020-05-03,20.57
2020-05-04,20.51
2020-05-05,19.71
2020-05-06,19.65
2020-05-07,19.47
2020-05-08,19.96
2020-05-09,20.02
2020-05-10,20.26
2020-05-11,20.2
2020-05-12,19.41
2020-05-13,19.41
2020-05-14,19.78
2020-05-15,20.51
2020-05-16,20.32
2020-05-17,20.87
2020-05-18,20.81
2020-05-19,19.96
2020-05-20,20.45
2020-05-21,19.35
2020-05-22,19.96
2020-05-23,20.32
2020-05-24,20.45
2020-05-25,20.45
2020-05-26,20.81
2020-05-27,21
2020-05-28,20.69
2020-05-29,19.78
2020-05-30,19.84
2020-05-31,20.02
2020-06-01,19.59
2020-06-02,19.04
2020-06-03,18.43
2020-06-04,19.35
2020-06-05,19.9
2020-06-06,18.62
2020-06-07,18.74
2020-06-08,19.71
2020-06-09,20.08
2020-06-10,20.45
2020-06-11,18.37
2020-06-12,18.98
2020-06-13,19.59
2020-06-14,19.9
2020-06-15,20.51
2020-06-16,20.32
2020-06-17,19.71
2020-06-18,19.65
2020-06-19,19.84
2020-06-20,19.41
2020-06-21,18.49
2020-06-22,18.37
2020-06-23,18.31
2020-06-24,19.1
2020-06-25,17.88
2020-06-26,18.31
2020-06-27,18.92
2020-06-28,19.41
2020-06-29,19.71
2020-06-30,19.84
2020-07-01,19.84
2020-07-02,19.47
2020-07-03,18.25
2020-07-04,18.07
2020-07-05,18.8
2020-07-06,18.43
2020-07-07,18.68
2020-07-08,18.98
2020-07-09,18.74
2020-07-10,18.98
2020-07-11,19.04
2020-07-12,18.68
2020-07-13,18.62
2020-07-14,19.23
2020-07-15,19.9
2020-07-16,18.92
2020-07-17,18.43
2020-07-18,18.8
2020-07-19,18.92
2020-07-20,19.17
2020-07-21,18.55
2020-07-22,18.31
2020-07-23,18.86
2020-07-24,18.37
2020-07-25,17.82
2020-07-26,16.97
2020-07-27,18.07
2020-07-28,18.74
2020-07-29,17.94
2020-07-30,17.76
2020-07-31,18.62
2020-08-01,18.74
2020-08-02,18.92
2020-08-03,19.04
2020-08-04,19.23
2020-08-05,18.62
2020-08-06,18.8
2020-08-07,18.49
2020-08-08,18.37
2020-08-09,18.19
2020-08-10,18.86
2020-08-11,19.35
2020-08-12,18.92
2020-08-13,18.37
2020-08-14,18.43
2020-08-15,19.1
2020-08-16,18.92
2020-08-17,19.04
2020-08-18,18.62
2020-08-19,18.68
2020-08-20,19.17
2020-08-21,18.8
2020-08-22,18.8
2020-08-23,18.74
2020-08-24,18.68
2020-08-25,18.86
2020-08-26,18.74
2020-08-27,18.68
2020-08-28,18.55
2020-08-29,18.55
2020-08-30,18.55
2020-08-31,18.62
2020-09-01,17.88
2020-09-02,18.31
2020-09-03,18.8
2020-09-04,19.1
2020-09-05,18.74
2020-09-06,18.31
2020-09-07,17.76
2020-09-08,18.55
2020-09-09,19.41
2020-09-10,18.74
2020-09-11,18.55
2020-09-12,18.68
2020-09-13,18.68
2020-09-14,18.55
2020-09-15,18.74
2020-09-16,19.29
2020-09-17,19.59
2020-09-18,19.53
2020-09-19,18.37
2020-09-20,17.21
2020-09-21,17.76
2020-09-22,18.49
2020-09-23,18.55
2020-09-24,18.74
2020-09-25,18.19
2020-09-26,18.43
2020-09-27,18.98
2020-09-28,19.04
2020-09-29,19.17
2020-09-30,18.62
2020-10-01,18.37
2020-10-02,18.13
2020-10-03,18.37
2020-10-04,17.94
2020-10-05,17.94
2020-10-06,18.01
2020-10-07,17.7
2020-10-08,18.37
2020-10-09,18.62
2020-10-10,18.49
2020-10-11,18.55
2020-10-12,18.86
2020-10-13,19.35
2020-10-14,19.35
2020-10-15,19.35
2020-10-16,18.92
2020-10-17,17.7
2020-10-18,18.74
2020-10-19,18.86
2020-10-20,19.1
2020-10-21,19.35
2020-10-22,19.23
2020-10-23,18.92
2020-10-24,18.74
2020-10-25,18.8
2020-10-26,18.8
2020-10-27,18.31
2020-10-28,18.25
2020-10-29,18.13
2020-10-30,18.37
2020-10-31,18.19
2020-11-01,18.62
2020-11-02,18.49
2020-11-03,18.31
2020-11-04,18.8
2020-11-05,18.31
2020-11-06,18.98
2020-11-07,18.19
2020-11-08,18.49
2020-11-09,19.41
2020-11-10,19.53
2020-11-11,18.62
2020-11-12,19.29
2020-11-13,18.98
2020-11-14,19.04
2020-11-15,19.78
2020-11-16,18.8
2020-11-17,18.37
2020-11-18,18.13
2020-11-19,17.82
2020-11-20,17.7
2020-11-21,18.07
2020-11-22,17.76
2020-11-23,18.25
2020-11-24,18.49
2020-11-25,19.29
2020-11-26,18.25
2020-11-27,17.58
2020-11-28,17.09
2020-11-29,17.58
2020-11-30,17.88
2020-12-01,18.37
2020-12-02,19.04
2020-12-03,18.8
2020-12-04,18.68
2020-12-05,19.35
2020-12-06,18.68
2020-12-07,16.97
2020-12-08,17.52
2020-12-09,18.19
2020-12-10,17.58
2020-12-11,17.33
2020-12-12,17.21
2020-12-13,16.17
2020-12-14,15.5
2020-12-15,16.72
2020-12-16,16.97
2020-12-17,17.09
2020-12-18,17.33
2020-12-19,17.88
2020-12-20,18.43
2020-12-21,18.31
2020-12-22,18.68
2020-12-23,18.31
2020-12-24,18.13
2020-12-25,17.03
2020-12-26,16.6
2020-12-27,18.25
2020-12-28,18.31
2020-12-29,18.62
2020-12-30,17.7
2020-12-31,18.68
2021-01-01,16.97
