ds,y
2019-03-03,16.2155
2019-02-24,36.78
2019-03-11,4.03
2019-03-15,3.32
2019-03-22,21.036
2019-03-03,12.048
2019-01-17,4.336
2019-02-02,5.611
2019-03-07,1.616
2019-03-27,4.434
2019-01-20,36.175
2019-02-24,16.719
2019-01-22,33.6015
2019-01-23,9.476
2019-03-05,24.81
2019-01-19,26.1315
2019-02-01,36.3555
2019-01-20,5.344
2019-03-13,25.564
2019-03-10,32.7915
2019-02-18,10.326
2019-01-21,23.385
2019-03-06,28.744
2019-03-07,12.57
2019-01-16,47.79
2019-03-21,15.228
2019-03-03,37.796
2019-02-08,9.294
2019-02-10,3.7035
2019-01-28,13.962
2019-02-11,11.556
2019-01-26,5.11
2019-03-23,1.2645
2019-02-15,4.4425
2019-03-18,14.265
2019-03-20,23.09
2019-03-22,0.914
2019-03-11,25.368
2019-01-05,12.53
2019-02-02,37.548
2019-01-01,19.036
2019-03-16,4.75
2019-01-06,23.56
2019-02-05,7.773
2019-03-14,7.094
2019-01-05,14.148
2019-01-04,17.77
2019-01-07,9.693
2019-01-27,1.203
2019-01-07,10.91
2019-02-15,27.984
2019-03-06,1.85
2019-03-24,3.743
2019-02-03,33.208
2019-01-10,23.514
2019-01-25,12.002
2019-01-19,4.4305
2019-02-17,35.516
2019-01-17,6.456
2019-02-07,9.909
2019-01-20,35.7
2019-03-02,12.15
2019-01-21,21.966
2019-03-24,13.188
2019-03-14,21.033
2019-01-03,16.7725
2019-01-05,15.921
2019-03-15,6.1155
2019-03-12,9.244
2019-02-04,0.699
2019-03-04,11.306
2019-03-22,20.372
2019-01-08,9.076
2019-03-08,45.325
2019-03-08,10.197
2019-01-15,40.1445
2019-01-23,25.131
2019-02-12,30.19
2019-01-30,1.148
2019-02-04,34.956
2019-03-05,6.06
2019-01-27,6.94
2019-02-09,4.785
2019-01-05,10.7275
2019-01-22,9.8475
2019-03-01,3.473
2019-03-20,24.951
2019-02-06,11.232
2019-03-11,7.08
2019-02-07,5.8345
2019-03-07,4.897
2019-01-22,4.602
2019-03-19,7.762
2019-01-20,5.622
2019-03-29,10.863
2019-02-25,20.51
2019-01-27,8.484
2019-03-24,7.032
2019-02-08,6.35
2019-01-17,33.1065
2019-01-25,7.995
2019-03-18,14.955
2019-01-18,8.712
2019-02-03,36.39
2019-01-08,4.91
2019-01-16,31.78
2019-01-29,21.8425
2019-01-06,12.438
2019-01-12,48.75
2019-03-02,39.7755
2019-03-19,15.106
2019-03-18,6.618
2019-01-08,8.3355
2019-03-09,18.263
2019-03-23,28.42
2019-03-20,42.282
2019-03-23,19.4635
2019-02-20,3.769
2019-01-30,2.6325
2019-03-26,5.5305
2019-01-24,18.32
2019-01-11,28.956
2019-03-05,38.184
2019-01-15,3.429
2019-03-03,17.604
2019-01-15,48.685
2019-01-24,3.0435
2019-02-11,21.6725
2019-03-17,15.494
2019-02-24,4.768
2019-03-12,14.2555
2019-03-07,5.662
2019-02-20,4.3135
2019-03-17,5.076
2019-01-12,17.8745
2019-03-19,4.658
2019-03-15,26.104
2019-03-30,10.326
2019-02-09,9.194
2019-03-24,15.676
2019-01-27,24.505
2019-02-07,37.248
2019-02-22,10.3455
2019-03-10,16.1055
2019-02-08,4.911
2019-02-22,1.273
2019-03-24,29.976
2019-01-03,18.945
2019-01-24,12.858
2019-01-19,22.84
2019-02-06,8.9525
2019-01-09,3.285
2019-02-09,19.773
2019-01-09,7.9
2019-03-04,14.985
2019-01-13,12.1515
2019-02-10,12.9185
2019-02-11,12.012
2019-03-02,48.69
2019-02-22,3.291
